player_id,player_name,comp_rank,comp_player_id,comp_player_name,similarity
1626145,Tyus Jones,2,1629630,Ja Morant,0.8420144032690335
1626145,Tyus Jones,3,203895,Jordan McRae,0.8309410148485339
1626145,Tyus Jones,4,1628975,Jevon Carter,0.8222438645599135
1626145,Tyus Jones,5,203115,Will Barton,0.8144949151290247
1626145,Tyus Jones,6,1627785,Isaiah Whitehead,0.8120213355601666
1626145,Tyus Jones,7,202709,Cory Joseph,0.8032113390846966
1626145,Tyus Jones,8,1629638,Nickeil Alexander-Walker,0.8029714758461329
1626145,Tyus Jones,9,1627752,Taurean Prince,0.7975697277388265
1626145,Tyus Jones,10,1641706,Brandon Miller,0.792082090266333
1626145,Tyus Jones,11,203477,Isaiah Canaan,0.7852801748146324
1626145,Tyus Jones,12,101114,Deron Williams,0.7832005848617531
1626147,Justin Anderson,1,1642954,Will Richard,0.9450041373151385
1626147,Justin Anderson,2,1628410,Edmond Sumner,0.9305010545846873
1626147,Justin Anderson,3,203922,Glenn Robinson III,0.8893509134567134
1626147,Justin Anderson,4,2772,Trevor Ariza,0.875714933490443
1626147,Justin Anderson,5,1628402,Frank Jackson,0.8687049923275634
1626147,Justin Anderson,6,1630643,Jay Huff,0.8563238732438171
1626147,Justin Anderson,7,1626153,Delon Wright,0.8472031347414022
1626147,Justin Anderson,8,1630587,Isaiah Livers,0.8464678359952887
1626147,Justin Anderson,9,2571,Leandro Barbosa,0.8307653639085321
1626147,Justin Anderson,10,1629162,Jordan McLaughlin,0.8288892218240588
1626147,Justin Anderson,11,1631097,Bennedict Mathurin,0.820150001284512
1626147,Justin Anderson,12,203498,Shabazz Muhammad,0.8118624745658591
1626149,Montrezl Harrell,1,1629655,Daniel Gafford,0.9591114061860715
1626149,Montrezl Harrell,2,1631105,Jalen Duren,0.9493745909373953
1626149,Montrezl Harrell,3,1628418,Thomas Bryant,0.94468923618588
1626149,Montrezl Harrell,4,1628386,Jarrett Allen,0.9121910381274723
1626149,Montrezl Harrell,5,1629674,Neemias Queta,0.9070895318048969
1626149,Montrezl Harrell,6,1641726,Dereck Lively II,0.9036053155146704
1626149,Montrezl Harrell,7,1631096,Chet Holmgren,0.8974082327374062
1626149,Montrezl Harrell,8,1628381,John Collins,0.8967996598673023
1626149,Montrezl Harrell,9,203939,Dwight Powell,0.8950914183724027
1626149,Montrezl Harrell,10,1631255,Karlo Matković,0.893399232715938
1626149,Montrezl Harrell,11,203497,Rudy Gobert,0.8922210226754692
1626149,Montrezl Harrell,12,1626158,Richaun Holmes,0.8844857114912393
1626150,Andrew Harrison,1,1642962,Drake Powell,0.9544465630427379
1626150,Andrew Harrison,2,1630583,Santi Aldama,0.9542308963970396
1626150,Andrew Harrison,3,1641772,Nae'Qwan Tomlin,0.9491675703009294
1626150,Andrew Harrison,4,1641713,GG Jackson,0.9480192849784624
1626150,Andrew Harrison,5,1642262,Cody Williams,0.9461779147999224
1626150,Andrew Harrison,6,1628977,Hamidou Diallo,0.9368028122679584
1626150,Andrew Harrison,7,201150,Spencer Hawes,0.9351569564777366
1626150,Andrew Harrison,8,1628464,Daniel Theis,0.9349956063721657
1626150,Andrew Harrison,9,203460,Andre Roberson,0.9334588021023603
1626150,Andrew Harrison,10,101111,Charlie Villanueva,0.9314625819221671
1626150,Andrew Harrison,11,1630205,Lamar Stevens,0.9312369956106208
1626150,Andrew Harrison,12,1641763,Julian Phillips,0.9307099966091604
1626153,Delon Wright,1,203922,Glenn Robinson III,0.9529742519432405
1626153,Delon Wright,2,203613,Jonathon Simmons,0.9080916072776771
1626153,Delon Wright,3,1642843,Cooper Flagg,0.8890658837502008
1626153,Delon Wright,4,1628410,Edmond Sumner,0.8787002766904846
1626153,Delon Wright,5,1642954,Will Richard,0.855200152267789
1626153,Delon Wright,6,2755,Kevin Martin,0.8489528881233642
1626153,Delon Wright,7,1626147,Justin Anderson,0.8472031347414022
1626153,Delon Wright,8,2571,Leandro Barbosa,0.8450496730820053
1626153,Delon Wright,9,1628402,Frank Jackson,0.8343820823778232
1626153,Delon Wright,10,1628370,Malik Monk,0.832615104097405
1626153,Delon Wright,11,1629162,Jordan McLaughlin,0.831542411087468
1626153,Delon Wright,12,1630552,Jalen Johnson,0.8211517058388875
1626155,Sam Dekker,1,1628390,Terrance Ferguson,0.9624467038771678
1626155,Sam Dekker,2,1629002,Chimezie Metu,0.9620727882080204
1626155,Sam Dekker,3,1629678,Admiral Schofield,0.9602690097749176
1626155,Sam Dekker,4,1629680,Matisse Thybulle,0.959885683868022
1626155,Sam Dekker,5,1628382,Justin Jackson,0.9577891838894834
1626155,Sam Dekker,6,1641842,Ronald Holland II,0.9454122707436607
1626155,Sam Dekker,7,1641713,GG Jackson,0.943983133433914
1626155,Sam Dekker,8,1628404,Josh Hart,0.939383885468798
1626155,Sam Dekker,9,1628464,Daniel Theis,0.9381917403666262
1626155,Sam Dekker,10,202682,Derrick Williams,0.9379370190882715
1626155,Sam Dekker,11,1641763,Julian Phillips,0.9200030941486065
1626155,Sam Dekker,12,1628371,Jonathan Isaac,0.9190765062190718
1626156,D'Angelo Russell,1,267634,Milos Teodosic,0.9631595209393451
1626156,D'Angelo Russell,2,2590,Mo Williams,0.9471087599204033
1626156,D'Angelo Russell,3,2037,Jamal Crawford,0.9001670428228878
1626156,D'Angelo Russell,4,1628988,Aaron Holiday,0.8935413139107679
1626156,D'Angelo Russell,5,203471,Dennis Schröder,0.8715101360768924
1626156,D'Angelo Russell,6,1629645,Kevin Porter Jr.,0.8633287083501164
1626156,D'Angelo Russell,7,1641724,Jett Howard,0.86267379026087
1626156,D'Angelo Russell,8,1628978,Donte DiVincenzo,0.8546446079071269
1626156,D'Angelo Russell,9,1631157,Ryan Rollins,0.853180513750286
1626156,D'Angelo Russell,10,1631323,Simone Fontecchio,0.8339354948013296
1626156,D'Angelo Russell,11,1629022,Lonnie Walker IV,0.8318858266904202
1626156,D'Angelo Russell,12,201980,Danny Green,0.8184591213389031
1626157,Karl-Anthony Towns,1,1629655,Daniel Gafford,0.8432868839946729
1626157,Karl-Anthony Towns,2,1631105,Jalen Duren,0.8417677664008785
1626157,Karl-Anthony Towns,3,1630168,Onyeka Okongwu,0.8062730153811078
1626157,Karl-Anthony Towns,4,1626149,Montrezl Harrell,0.7995502001017434
1626157,Karl-Anthony Towns,5,1630568,Luka Garza,0.7925245401915373
1626157,Karl-Anthony Towns,6,201568,Danilo Gallinari,0.7770548970768665
1626157,Karl-Anthony Towns,7,1626246,Boban Marjanovic,0.7755386660209884
1626157,Karl-Anthony Towns,8,1628418,Thomas Bryant,0.7680101142207062
1626157,Karl-Anthony Towns,9,1641737,Adem Bona,0.7372142851981249
1626157,Karl-Anthony Towns,10,1627745,Damian Jones,0.7339474353317507
1626157,Karl-Anthony Towns,11,1630208,Nick Richards,0.7252027880096588
1626157,Karl-Anthony Towns,12,1631255,Karlo Matković,0.7194568111927676
1626158,Richaun Holmes,1,1629634,Brandon Clarke,0.9771955344269329
1626158,Richaun Holmes,2,1628386,Jarrett Allen,0.9725865848857298
1626158,Richaun Holmes,3,1628381,John Collins,0.9520259003523804
1626158,Richaun Holmes,4,203497,Rudy Gobert,0.9508089541960831
1626158,Richaun Holmes,5,1627751,Jakob Poeltl,0.9377147484890695
1626158,Richaun Holmes,6,1629637,Jaxson Hayes,0.9345999461279898
1626158,Richaun Holmes,7,1630264,Anthony Gill,0.9249250951189061
1626158,Richaun Holmes,8,1631105,Jalen Duren,0.9094986970235961
1626158,Richaun Holmes,9,1629674,Neemias Queta,0.8926624637972272
1626158,Richaun Holmes,10,1626149,Montrezl Harrell,0.8844857114912393
1626158,Richaun Holmes,11,1630208,Nick Richards,0.8772435038191437
1626158,Richaun Holmes,12,1627767,Cheick Diallo,0.8664000263690426
1626159,Justise Winslow,1,1630581,Josh Giddey,0.9887588131452021
1626159,Justise Winslow,2,1629628,RJ Barrett,0.9785187418539144
1626159,Justise Winslow,3,1630591,Jalen Suggs,0.97564607276906
1626159,Justise Winslow,4,203901,Elfrid Payton,0.9727126417574434
1626159,Justise Winslow,5,1627820,Tyrone Wallace,0.9675993611048925
1626159,Justise Winslow,6,1642879,Ben Saraf,0.9631752038934265
1626159,Justise Winslow,7,1627098,Malcolm Delaney,0.9628120612781697
