decade,x_center,y_center,attempts,makes,points,fg_pct,pps
2010s,150,270,164,37,111,0.2256,0.6768
2010s,170,270,94,19,57,0.2021,0.6064
2010s,190,270,52,8,24,0.1538,0.4615
2010s,210,270,17,0,0,0.0000,0.0000
2010s,230,270,8,0,0,0.0000,0.0000
2010s,250,270,0,0,0,,
2010s,-250,290,0,0,0,,
2010s,-230,290,0,0,0,,
2010s,-210,290,8,2,6,0.2500,0.7500
2010s,-190,290,33,1,3,0.0303,0.0909
2010s,-170,290,54,5,15,0.0926,0.2778
2010s,-150,290,48,13,39,0.2708,0.8125
2010s,-130,290,83,26,78,0.3133,0.9398
2010s,-110,290,87,22,66,0.2529,0.7586
2010s,-90,290,131,39,117,0.2977,0.8931
2010s,-70,290,178,48,144,0.2697,0.8090
2010s,-50,290,206,60,180,0.2913,0.8738
2010s,-30,290,249,81,243,0.3253,0.9759
2010s,-10,290,524,141,423,0.2691,0.8073
2010s,10,290,588,174,522,0.2959,0.8878
2010s,30,290,267,77,231,0.2884,0.8652
2010s,50,290,175,43,129,0.2457,0.7371
2010s,70,290,136,32,96,0.2353,0.7059
2010s,90,290,111,27,81,0.2432,0.7297
2010s,110,290,91,19,57,0.2088,0.6264
2010s,130,290,84,24,72,0.2857,0.8571
2010s,150,290,74,14,42,0.1892,0.5676
2010s,170,290,54,8,24,0.1481,0.4444
2010s,190,290,32,6,18,0.1875,0.5625
2010s,210,290,17,3,9,0.1765,0.5294
2010s,230,290,4,1,3,0.2500,0.7500
2010s,250,290,0,0,0,,
2010s,-250,310,0,0,0,,
2010s,-230,310,1,0,0,0.0000,0.0000
2010s,-210,310,10,1,3,0.1000,0.3000
2010s,-190,310,29,3,9,0.1034,0.3103
2010s,-170,310,35,5,15,0.1429,0.4286
2010s,-150,310,34,1,3,0.0294,0.0882
2010s,-130,310,32,3,9,0.0938,0.2812
2010s,-110,310,45,9,27,0.2000,0.6000
2010s,-90,310,36,9,27,0.2500,0.7500
2010s,-70,310,35,7,21,0.2000,0.6000
2010s,-50,310,36,9,27,0.2500,0.7500
2010s,-30,310,49,7,21,0.1429,0.4286
2010s,-10,310,129,34,102,0.2636,0.7907
2010s,10,310,176,45,135,0.2557,0.7670
2010s,30,310,54,11,33,0.2037,0.6111
2010s,50,310,43,13,39,0.3023,0.9070
2010s,70,310,56,7,21,0.1250,0.3750
2010s,90,310,46,11,33,0.2391,0.7174
2010s,110,310,33,7,21,0.2121,0.6364
2010s,130,310,54,5,15,0.0926,0.2778
2010s,150,310,43,9,27,0.2093,0.6279
2010s,170,310,44,4,12,0.0909,0.2727
2010s,190,310,23,3,9,0.1304,0.3913
2010s,210,310,13,2,6,0.1538,0.4615
2010s,230,310,2,0,0,0.0000,0.0000
2010s,250,310,0,0,0,,
2010s,-250,330,0,0,0,,
2010s,-230,330,1,0,0,0.0000,0.0000
2010s,-210,330,11,0,0,0.0000,0.0000
2010s,-190,330,26,3,9,0.1154,0.3462
2010s,-170,330,47,5,15,0.1064,0.3191
2010s,-150,330,33,5,15,0.1515,0.4545
2010s,-130,330,27,1,3,0.0370,0.1111
2010s,-110,330,26,2,6,0.0769,0.2308
2010s,-90,330,29,3,9,0.1034,0.3103
2010s,-70,330,25,5,15,0.2000,0.6000
2010s,-50,330,21,3,9,0.1429,0.4286
2010s,-30,330,21,7,21,0.3333,1.0000
2010s,-10,330,53,12,36,0.2264,0.6792
2010s,10,330,77,18,54,0.2338,0.7013
2010s,30,330,28,6,18,0.2143,0.6429
2010s,50,330,21,3,9,0.1429,0.4286
2010s,70,330,25,3,9,0.1200,0.3600
2010s,90,330,19,1,3,0.0526,0.1579
2010s,110,330,25,2,6,0.0800,0.2400
2010s,130,330,24,3,9,0.1250,0.3750
2010s,150,330,30,1,3,0.0333,0.1000
2010s,170,330,46,1,3,0.0217,0.0652
2010s,190,330,30,2,6,0.0667,0.2000
2010s,210,330,11,1,3,0.0909,0.2727
2010s,230,330,5,0,0,0.0000,0.0000
2010s,250,330,0,0,0,,
2010s,-250,350,0,0,0,,
2010s,-230,350,0,0,0,,
2010s,-210,350,19,1,3,0.0526,0.1579
2010s,-190,350,38,3,9,0.0789,0.2368
2010s,-170,350,42,0,0,0.0000,0.0000
2010s,-150,350,23,2,6,0.0870,0.2609
2010s,-130,350,17,1,3,0.0588,0.1765
2010s,-110,350,16,0,0,0.0000,0.0000
2010s,-90,350,14,0,0,0.0000,0.0000
2010s,-70,350,12,0,0,0.0000,0.0000
2010s,-50,350,13,1,3,0.0769,0.2308
2010s,-30,350,13,3,9,0.2308,0.6923
2010s,-10,350,39,3,9,0.0769,0.2308
2010s,10,350,58,6,18,0.1034,0.3103
2010s,30,350,13,2,6,0.1538,0.4615
2010s,50,350,8,0,0,0.0000,0.0000
