player_id,player_name,season,gp,ppg,ts_pct,headshot_path,headshot_available
1629130,D. Robinson,2025,74,11.0405,0.567188,analytics/images/nba/headshots/1629130.png,1
203915,S. Dinwiddie,2025,79,11.038,0.544584,analytics/images/nba/headshots/203915.png,1
1627824,G. Yabusele,2025,70,10.9714,0.57615,analytics/images/nba/headshots/1627824.png,1
203501,T. Hardaway Jr.,2025,77,10.961,0.541881,analytics/images/nba/headshots/203501.png,1
1641729,B. Sensabaugh,2025,71,10.8732,0.577745,analytics/images/nba/headshots/1641729.png,1
203992,B. Bogdanović,2025,54,10.7963,0.571515,analytics/images/nba/headshots/203992.png,1
1641722,J. Hawkins,2025,56,10.7857,0.470879,analytics/images/nba/headshots/1641722.png,1
1631107,N. Jović,2025,46,10.7391,0.594061,analytics/images/nba/headshots/1631107.png,1
1630527,B. Boston,2025,42,10.6667,0.513164,analytics/images/nba/headshots/1630527.png,1
1628960,G. Allen,2025,64,10.625,0.644494,analytics/images/nba/headshots/1628960.png,1
1630553,K. Johnson,2025,79,10.6203,0.476791,analytics/images/nba/headshots/1630553.png,1
1626179,T. Rozier,2025,64,10.6094,0.467111,analytics/images/nba/headshots/1626179.png,1
1630167,O. Toppin,2025,79,10.5443,0.625809,analytics/images/nba/headshots/1630167.png,1
1630570,T. Watford,2025,43,10.4651,0.548128,analytics/images/nba/headshots/1630570.png,1
1630534,O. Agbaji,2025,64,10.4219,0.609684,analytics/images/nba/headshots/1630534.png,1
1642377,J. Wells,2025,79,10.4177,0.548144,analytics/images/nba/headshots/1642377.png,1
202685,J. Valančiūnas,2025,81,10.4074,0.604019,analytics/images/nba/headshots/202685.png,1
1629684,G. Williams,2025,16,10.375,0.593812,analytics/images/nba/headshots/1629684.png,1
1629651,N. Claxton,2025,70,10.3429,0.574153,analytics/images/nba/headshots/1629651.png,1
1630631,J. Alvarado,2025,56,10.3393,0.509966,analytics/images/nba/headshots/1630631.png,1
1629001,D. Melton,2025,6,10.3333,0.49955,analytics/images/nba/headshots/1629001.png,1
1629645,K. Porter Jr.,2025,75,10.28,0.507061,analytics/images/nba/headshots/1629645.png,1
1630529,H. Jones,2025,20,10.25,0.52412,analytics/images/nba/headshots/1630529.png,1
1626145,T. Jones,2025,81,10.2346,0.564128,analytics/images/nba/headshots/1626145.png,1
1630198,I. Joe,2025,74,10.2162,0.582996,analytics/images/nba/headshots/1630198.png,1
1627884,D. Jones Jr.,2025,77,10.1429,0.617131,analytics/images/nba/headshots/1627884.png,1
1631232,K. Brooks Jr.,2025,14,10.1429,0.5506,,0
1629652,L. Dort,2025,71,10.1268,0.560455,analytics/images/nba/headshots/1629652.png,1
1642348,J. Edwards,2025,44,10.1136,0.533995,analytics/images/nba/headshots/1642348.png,1
1641709,A. Thompson,2025,59,10.0678,0.577214,analytics/images/nba/headshots/1641709.png,1
1629614,A. Nembhard,2025,65,10.0462,0.561077,analytics/images/nba/headshots/1629614.png,1
1628449,C. Boucher,2025,50,10.04,0.581836,analytics/images/nba/headshots/1628449.png,1
1630533,Z. Williams,2025,63,10.0317,0.533435,analytics/images/nba/headshots/1630533.png,1
1630577,J. Champagnie,2025,82,9.939,0.555507,analytics/images/nba/headshots/1630577.png,1
1627777,G. Niang,2025,79,9.9241,0.607252,analytics/images/nba/headshots/1627777.png,1
1628989,K. Huerter,2025,69,9.8696,0.509216,analytics/images/nba/headshots/1628989.png,1
